,B14.5,B15.5,B17.5,B20,B34,C14.5,C15.5,C17.5,C20,C34
ENSMUSG00000118178,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000118248,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117770,0,0,1,0,1,3,0,0,0,0
ENSMUSG00000117978,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000024935,271,371,494,721,1324,290,412,730,698,730
ENSMUSG00000089993,50,50,31,28,15,36,44,33,23,5
ENSMUSG00000054843,1145,1217,1131,1368,2201,1630,1429,954,1386,1247
ENSMUSG00000093757,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117871,0,3,0,1,1,0,1,0,2,0
ENSMUSG00000087002,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064202,24,16,21,21,67,16,11,16,27,44
ENSMUSG00000040105,177,212,262,326,563,280,285,394,440,761
ENSMUSG00000118165,2,2,0,1,1,2,2,1,1,3
ENSMUSG00000025089,294,285,382,440,637,898,919,706,882,476
ENSMUSG00000118253,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025090,0,0,1,1,1,1,0,0,3,2
ENSMUSG00000100001,0,0,0,0,1,0,1,0,1,0
ENSMUSG00000046008,2,0,6,5,6,3,3,4,3,0
ENSMUSG00000118223,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101088,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024780,1568,1251,1083,1214,1571,1581,1059,740,969,2702
ENSMUSG00000042179,1,2,0,1,0,1,2,3,0,0
ENSMUSG00000054874,1551,1878,1596,1602,959,1216,2004,1787,2154,781
ENSMUSG00000063754,1509,1039,926,970,513,1557,868,1207,850,699
ENSMUSG00000025091,1,1,0,2,2,0,0,2,1,0
ENSMUSG00000024782,887,798,895,850,902,754,742,710,904,1283
ENSMUSG00000100075,9,6,9,10,12,15,19,9,17,9
ENSMUSG00000098568,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118320,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026931,0,0,0,0,2,1,0,1,1,0
ENSMUSG00002076056,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091410,0,3,1,1,0,0,0,0,2,1
ENSMUSG00000024785,245,197,193,229,151,136,194,228,215,169
ENSMUSG00000004054,291,274,319,232,263,196,318,232,261,306
ENSMUSG00000065556,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118077,1,0,0,0,0,0,0,0,1,1
ENSMUSG00000068466,4782,3318,2415,2870,1355,4283,2388,2226,2401,1113
ENSMUSG00000024936,4,2,4,1,0,3,9,0,3,3
ENSMUSG00000025092,1282,1721,2349,2529,4486,2009,2034,2197,2796,3100
ENSMUSG00000092813,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048029,41,40,41,31,45,22,16,29,36,36
ENSMUSG00000024789,1260,1345,1631,1646,694,1643,1144,910,1012,698
ENSMUSG00000050957,5,3,2,1,1,6,3,5,5,3
ENSMUSG00000039097,9,16,11,15,4,4,1,14,17,4
ENSMUSG00000041362,2173,2896,4629,4830,1406,1979,1697,3025,2844,768
ENSMUSG00000118377,13,12,10,13,9,17,13,8,16,4
ENSMUSG00000006270,96,105,43,50,13,33,1,6,4,0
ENSMUSG00000117834,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000040901,1,0,0,2,0,0,0,1,0,0
ENSMUSG00000101630,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000016495,466,452,319,353,184,396,360,318,303,238
ENSMUSG00000025094,703,557,309,202,214,744,488,588,793,670
ENSMUSG00000016496,27,30,25,34,14,18,8,13,12,13
ENSMUSG00000117964,8,1,2,6,3,2,1,4,4,0
ENSMUSG00000074746,883,816,956,1002,1438,1013,896,677,1185,1182
ENSMUSG00000067038,5408,4445,3352,3095,1182,3738,3723,4810,2902,1243
ENSMUSG00000118276,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000110210,3,2,0,0,0,1,0,0,0,1
ENSMUSG00000043969,720,445,355,293,142,467,418,345,179,25
ENSMUSG00000100119,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118118,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000016498,1,1,2,0,0,0,1,1,4,0
ENSMUSG00000118031,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118190,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090965,8,2,2,4,0,0,3,0,1,5
ENSMUSG00000040022,889,841,1057,1299,1324,1021,864,629,1006,776
ENSMUSG00000091378,1,1,1,2,1,2,0,3,5,0
ENSMUSG00000118291,0,0,1,0,2,1,2,0,2,2
ENSMUSG00000118166,0,0,0,0,0,0,3,0,0,1
ENSMUSG00000057858,347,265,259,276,221,778,429,316,354,353
